Configuration;Chunker;Embedder;LLM;Latency (s);Cost per Query ($);Source Attribution;Faithfulness;Answer Relevancy;Context Recall;Context Precision
RecursiveSplitter | BAAI/bge-m3 | Qwen-2.5-14B;RecursiveSplitter;BAAI/bge-m3;Qwen-2.5-14B;3.99;0.000309;1.0;1.0;;1.0;
RecursiveSplitter | BAAI/bge-m3 | Llama-3.3-70B;RecursiveSplitter;BAAI/bge-m3;Llama-3.3-70B;5.235;0.000334;1.0;;;;
RecursiveSplitter | BAAI/bge-m3 | Mistral-Large-2;RecursiveSplitter;BAAI/bge-m3;Mistral-Large-2;2.099;0.006636;1.0;;;1.0;
RecursiveSplitter | snowflake/arctic-embed-1-v2.0 | Qwen-2.5-14B;RecursiveSplitter;snowflake/arctic-embed-1-v2.0;Qwen-2.5-14B;8.68;0.000315;1.0;;;;
RecursiveSplitter | snowflake/arctic-embed-1-v2.0 | Llama-3.3-70B;RecursiveSplitter;snowflake/arctic-embed-1-v2.0;Llama-3.3-70B;2.089;0.000344;1.0;;;;
RecursiveSplitter | snowflake/arctic-embed-1-v2.0 | Mistral-Large-2;RecursiveSplitter;snowflake/arctic-embed-1-v2.0;Mistral-Large-2;2.06;0.006472;1.0;;;;
RecursiveSplitter | intfloat/multilingual-e5-large-instruct | Qwen-2.5-14B;RecursiveSplitter;intfloat/multilingual-e5-large-instruct;Qwen-2.5-14B;4.377;0.00032;1.0;;;;
RecursiveSplitter | intfloat/multilingual-e5-large-instruct | Llama-3.3-70B;RecursiveSplitter;intfloat/multilingual-e5-large-instruct;Llama-3.3-70B;1.513;0.00035;1.0;;;;
RecursiveSplitter | intfloat/multilingual-e5-large-instruct | Mistral-Large-2;RecursiveSplitter;intfloat/multilingual-e5-large-instruct;Mistral-Large-2;2.051;0.006548;1.0;;;;
FixedSizeWordSplitter | BAAI/bge-m3 | Qwen-2.5-14B;FixedSizeWordSplitter;BAAI/bge-m3;Qwen-2.5-14B;5.149;0.000339;1.0;;;;
FixedSizeWordSplitter | BAAI/bge-m3 | Llama-3.3-70B;FixedSizeWordSplitter;BAAI/bge-m3;Llama-3.3-70B;29.227;0.000364;1.0;;;;
FixedSizeWordSplitter | BAAI/bge-m3 | Mistral-Large-2;FixedSizeWordSplitter;BAAI/bge-m3;Mistral-Large-2;2.832;0.007228;1.0;;;;
FixedSizeWordSplitter | snowflake/arctic-embed-1-v2.0 | Qwen-2.5-14B;FixedSizeWordSplitter;snowflake/arctic-embed-1-v2.0;Qwen-2.5-14B;3.754;0.000343;1.0;;;;
FixedSizeWordSplitter | snowflake/arctic-embed-1-v2.0 | Llama-3.3-70B;FixedSizeWordSplitter;snowflake/arctic-embed-1-v2.0;Llama-3.3-70B;1.749;0.00037;1.0;;;;
FixedSizeWordSplitter | snowflake/arctic-embed-1-v2.0 | Mistral-Large-2;FixedSizeWordSplitter;snowflake/arctic-embed-1-v2.0;Mistral-Large-2;3.072;0.007452;1.0;;;1.0;
FixedSizeWordSplitter | intfloat/multilingual-e5-large-instruct | Qwen-2.5-14B;FixedSizeWordSplitter;intfloat/multilingual-e5-large-instruct;Qwen-2.5-14B;3.575;0.000342;1.0;;;1.0;
FixedSizeWordSplitter | intfloat/multilingual-e5-large-instruct | Llama-3.3-70B;FixedSizeWordSplitter;intfloat/multilingual-e5-large-instruct;Llama-3.3-70B;2.415;0.000373;1.0;;;1.0;
FixedSizeWordSplitter | intfloat/multilingual-e5-large-instruct | Mistral-Large-2;FixedSizeWordSplitter;intfloat/multilingual-e5-large-instruct;Mistral-Large-2;1.821;0.007152;1.0;;;1.0;
SemanticEmbeddingChunker | BAAI/bge-m3 | Qwen-2.5-14B;SemanticEmbeddingChunker;BAAI/bge-m3;Qwen-2.5-14B;3.9;0.000887;0.0;;;1.0;
SemanticEmbeddingChunker | BAAI/bge-m3 | Llama-3.3-70B;SemanticEmbeddingChunker;BAAI/bge-m3;Llama-3.3-70B;2.179;0.000978;1.0;;;1.0;
SemanticEmbeddingChunker | BAAI/bge-m3 | Mistral-Large-2;SemanticEmbeddingChunker;BAAI/bge-m3;Mistral-Large-2;4.407;0.017722;1.0;;;1.0;
SemanticEmbeddingChunker | snowflake/arctic-embed-1-v2.0 | Qwen-2.5-14B;SemanticEmbeddingChunker;snowflake/arctic-embed-1-v2.0;Qwen-2.5-14B;5.605;0.000357;1.0;;;;
SemanticEmbeddingChunker | snowflake/arctic-embed-1-v2.0 | Llama-3.3-70B;SemanticEmbeddingChunker;snowflake/arctic-embed-1-v2.0;Llama-3.3-70B;10.593;0.00038;1.0;;;1.0;
SemanticEmbeddingChunker | snowflake/arctic-embed-1-v2.0 | Mistral-Large-2;SemanticEmbeddingChunker;snowflake/arctic-embed-1-v2.0;Mistral-Large-2;2.046;0.007362;1.0;;;1.0;
SemanticEmbeddingChunker | intfloat/multilingual-e5-large-instruct | Qwen-2.5-14B;SemanticEmbeddingChunker;intfloat/multilingual-e5-large-instruct;Qwen-2.5-14B;7.367;0.000509;1.0;;;1.0;
SemanticEmbeddingChunker | intfloat/multilingual-e5-large-instruct | Llama-3.3-70B;SemanticEmbeddingChunker;intfloat/multilingual-e5-large-instruct;Llama-3.3-70B;65.485;0.000555;1.0;;;1.0;
SemanticEmbeddingChunker | intfloat/multilingual-e5-large-instruct | Mistral-Large-2;SemanticEmbeddingChunker;intfloat/multilingual-e5-large-instruct;Mistral-Large-2;2.271;0.009856;1.0;;;1.0;
